No.;Time;;Time 1;Time 2;Delay;Total Delay;Rata Rata delay;Delay 1;Delay 2;Jitter;Total Jitter;Rata rata jiter
296;17,052648;;17,052648;17,052986;0,000338;;;-0,0136;0,013936;0,027536;;
297;17,052986;;17,052986;17,066924;0,013938;;;0,013936;-0,000581;-0,014517;;
298;17,066924;;17,066924;17,066926;2,00E-06;;;-0,000581;0,000156;0,000737;;
299;17,066926;;17,066926;17,067509;0,000583;;;0,000156;-3,00E-05;-0,000186;;
300;17,067509;;17,067509;17,067936;0,000427;;;-3,00E-05;-0,001293;-0,001263;;
301;17,067936;;17,067936;17,068393;0,000457;;;-0,001293;0,001472;0,002765;;
302;17,068393;;17,068393;17,070143;0,00175;;;0,001472;-0,001814;-0,003286;;
303;17,070143;;17,070143;17,070421;0,000278;;;-0,001814;0,0017;0,003514;;
304;17,070421;;17,070421;17,072513;0,002092;;;0,0017;-0,000726;-0,002426;;
305;17,072513;;17,072513;17,072905;0,000392;;;-0,000726;0,000181;0,000907;;
306;17,072905;;17,072905;17,074023;0,001118;;;0,000181;0,000702;0,000521;;
307;17,074023;;17,074023;17,07496;0,000937;;;0,000702;-0,001516;-0,002218;;
308;17,07496;;17,07496;17,075195;0,000235;;;-0,001516;0,001547;0,003063;;
309;17,075195;;17,075195;17,076946;0,001751;;;0,001547;-0,005426;-0,006973;;
